,KIC,n,l,Freq,e_Freq,E_Freq,Amp,e_Amp,E_Amp,Width,e_Width,E_Width,l_lnK,lnK,source,f,f_e,g,g_e,A,A_e,H,H_e,flag
99,2837475,28,1,2233.88,1.51,1.41,,,,,,,,3.07,L,2232.5888470558048,1.0200227221398452,10.410437437419755,0.9129639500532762,2.0108037441846114,0.11677463232928363,0.24706702195273816,0.03345629043057295,
100,3427720,14,0,1848.95,3.9,2.74,0.05,0.05,0.59,0.5,0.5,4.02,,1.15,L,1850.2597213836139,0.6388133589117753,0.956227654945534,0.23843221047428667,0.40135467780137596,0.0868341692255742,0.10767977469372042,0.055018383892706996,
101,3427720,14,2,1958.7,0.33,0.3,,,,,,,,1.58,L,1958.7539676510453,0.6148896275742101,1.0119232525631587,0.23730700453343823,0.5363973176459692,0.09506348397278738,0.18261385880707845,0.08310130087414035,
102,3427720,15,0,1969.86,0.16,0.16,1.15,0.13,0.14,0.9,0.3,0.39,>,6.0,L,1969.5816522408768,0.3239464442768425,0.9984481884257206,0.23300951190280425,0.6785764538128349,0.10114834186693464,0.29472778931967847,0.11835882723438175,
103,3427720,15,1,2025.18,0.14,0.15,,,,,,,>,6.0,L,2025.1766542023513,0.20267655654818845,1.0193104989054684,0.2171329931914666,1.0618266619334489,0.09634029356899557,0.7079764828095569,0.18659817544424512,
104,3427720,15,2,2077.46,0.52,0.76,,,,,,,,-0.16,L,2077.527820308792,0.5074464622781211,1.1343143378255318,0.24572134461519515,0.7683272549436828,0.0816244649305461,0.3297250496912329,0.09826571465541946,
105,3427720,16,0,2088.92,0.24,0.24,1.07,0.13,0.15,1.2,0.5,0.46,>,6.0,L,2087.7579278418925,0.670901653535157,1.1841041556030858,0.2551520559612269,0.9386588027379454,0.08673520936500158,0.46907661821018454,0.12280769279332392,
106,3427720,16,1,2144.14,0.17,0.18,,,,,,,>,6.0,L,2144.217025831526,0.16258873924726697,1.1174798422585122,0.214696603489073,1.5036962340385132,0.08545312573849238,1.2849656238164564,0.26379291389809884,
107,3427720,16,2,2195.88,0.63,0.55,,,,,,,,0.7,L,2196.3915307962743,0.5547080677769682,1.3110397752561438,0.2669060094805234,1.1000956918461486,0.08345341385664821,0.5869835186010182,0.1387483303315971,
108,3427720,17,0,2207.58,0.38,0.38,1.4,0.12,0.12,2.13,0.42,0.53,>,6.0,L,2207.118429318422,0.3168692829828468,1.3825694538502469,0.26755188451110035,1.331951794704274,0.08005924282364268,0.8141987475672718,0.16247726511054325,
